Адрес,Дальность от метро,Метро,Название,Описание,Ссылка,Стоимость,Стоимость за метр
"Москва, ЗАО, р-н Филевский парк, м. Фили, Береговой проезд, 2",4 минуты на транспорте,Фили,"2-комн. квартира, 65,8 м², 6/24 этаж",Секция 13 • Сдача корпуса 4 кв. 2024,https://www.cian.ru/sale/flat/296921213/,31 630 520 ₽,480 707 ₽/м²
"Москва, ЦАО, р-н Таганский, м. Китай-город, Славянская площадь, 2/5с1",2 минуты пешком,Китай-город,"2-комн. апартаменты, 82,4 м², 5/8 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/306823110/,77 456 000 ₽,940 000 ₽/м²
"Москва, ЮЗАО, р-н Зюзино, м. Зюзино, Балаклавский проспект, 46А",12 минут пешком,Зюзино,Просторная двушка с мебелью!,"2-комн. квартира, 49 м², 7/12 этаж",https://www.cian.ru/sale/flat/310467919/,15 900 000 ₽,324 490 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Москва-Сити, 1-й Красногвардейский проезд, 21с2",1 минута пешком,Москва-Сити,От застройщика Capital Group,"2-комн. апартаменты, 80,6 м², 59/85 этаж",https://www.cian.ru/sale/flat/288136857/,74 364 100 ₽,922 632 ₽/м²
"Москва, ЦАО, р-н Якиманка, м. Октябрьская, улица Большая Якиманка, 26",8 минут пешком,Октябрьская,Просторная видовая двушка,"2-комн. квартира, 70,2 м², 8/12 этаж",https://www.cian.ru/sale/flat/298760170/,65 000 000 ₽,925 926 ₽/м²
"Москва, НАО (Новомосковский), м. Потапово, Дзен-кварталы ЖК, 2.2",16 минут пешком,Потапово,"2-комн. квартира, 50,4 м², 5/10 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/306939877/,9 990 000 ₽,198 214 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Пушкинская, Трехпрудный переулок, 9С2",7 минут пешком,Пушкинская,"2-комн. апартаменты, 173,3 м², 1/6 этаж",Секция Подъезд 1 • Сдача корпуса 3 кв. 2027,https://www.cian.ru/sale/flat/308803465/,418 519 500 ₽,2 415 000 ₽/м²
"Москва, ЦАО, р-н Якиманка, м. Новокузнецкая, Софийская набережная, 34",11 минут пешком,Новокузнецкая,Лучшая цена!Быстрая продажа!,"2-комн. апартаменты, 49,9 м², 3/8 этаж",https://www.cian.ru/sale/flat/304329865/,69 000 000 ₽,1 382 766 ₽/м²
"Москва, ЮАО, р-н Царицыно, м. Царицыно, Луганская улица, 3К2",6 минут пешком,Царицыно,Отличная цена!,"2-комн. квартира, 52,3 м², 8/12 этаж",https://www.cian.ru/sale/flat/310814339/,11 500 000 ₽,219 885 ₽/м²
"Москва, ЗАО, р-н Дорогомилово, м. Москва-Сити, Бадаевский ЖК",5 минут на транспорте,Александровский сад,"2-комн. квартира, 45,8 м², 11/18 этаж",Сдача корпуса 4 кв. 2025,https://www.cian.ru/sale/flat/309666338/,56 907 301 ₽,1 242 517 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Шелепиха, Шмитовский проезд, 39к3",6 минут пешком,Шелепиха,"2-комн. квартира, 69,6 м², 7/7 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/303014613/,39 900 000 ₽,573 276 ₽/м²
"Москва, СЗАО, р-н Южное Тушино, м. Сходненская, Туристская улица, 4К4",14 минут пешком,Сходненская,Большая кухня! Гардеробная,"2-комн. квартира, 40 м², 6/9 этаж",https://www.cian.ru/sale/flat/307950039/,13 990 000 ₽,349 750 ₽/м²
