Ссылка,Название,Описание,Метро,Дальность от метро,Адрес,Стоимость,Стоимость за метр
https://www.cian.ru/sale/flat/306341798/,"2-комн. квартира, 86,1 м², 4/12 этаж",Секция 1 • Сдача корпуса 3 кв. 2027,Парк Культуры,4 минуты на транспорте,"Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Фрунзенская набережная, 30",222 000 000 ₽,2 578 397 ₽/м²
https://www.cian.ru/sale/flat/310804713/,"2-комн. апартаменты, 105,9 м², 3/8 этаж",Информация отсутствует,Китай-город,2 минуты пешком,"Москва, ЦАО, р-н Таганский, м. Китай-город, Славянская площадь, 2/5с1",76 671 600 ₽,724 000 ₽/м²
https://www.cian.ru/sale/flat/311271427/,"2-комн. квартира, 41 м², 5/9 этаж",Информация отсутствует,Фонвизинская,13 минут пешком,"Москва, СВАО, р-н Марфино, м. Фонвизинская, улица Академика Комарова, 20а",8 900 000 ₽,217 073 ₽/м²
https://www.cian.ru/sale/flat/305787512/,"2-комн. квартира, 73,2 м², 40/67 этаж",Сдан,Деловой центр,14 минут пешком,"Москва, ЦАО, р-н Пресненский, м. Москва-Сити, Краснопресненская набережная, 14Ак1",84 180 000 ₽,1 150 000 ₽/м²
https://www.cian.ru/sale/flat/311387318/,Пентхаус с собственной террасой!,"2-комн. апартаменты, 122 м², 6/6 этаж",Информация отсутствует,7 минут пешком,"Москва, САО, р-н Беговой, м. Белорусская, улица 3-я Ямского Поля, 9",75 000 000 ₽,614 754 ₽/м²
https://www.cian.ru/sale/flat/306939877/,"2-комн. квартира, 50,4 м², 5/10 этаж",Информация отсутствует,Потапово,16 минут пешком,"Москва, НАО (Новомосковский), м. Потапово, Дзен-кварталы ЖК, 2.2",9 990 000 ₽,198 214 ₽/м²
https://www.cian.ru/sale/flat/308803465/,"2-комн. апартаменты, 173,3 м², 1/6 этаж",Секция Подъезд 1 • Сдача корпуса 3 кв. 2027,Пушкинская,7 минут пешком,"Москва, ЦАО, р-н Пресненский, м. Пушкинская, Трехпрудный переулок, 9С2",418 519 500 ₽,2 415 000 ₽/м²
https://www.cian.ru/sale/flat/310634642/,"2-комн. квартира, 70 м², 4/9 этаж",Информация отсутствует,Кутузовская,14 минут пешком,"Москва, ЗАО, р-н Дорогомилово, м. Москва-Сити, Кутузовский проспект, 23К1",36 000 000 ₽,514 286 ₽/м²
https://www.cian.ru/sale/flat/293910171/,"2-комн. квартира, 54 м², 13/16 этаж",Информация отсутствует,Братиславская,19 минут пешком,"Москва, ЮВАО, р-н Марьино, м. Братиславская, Братиславская улица, 33",13 500 000 ₽,250 000 ₽/м²
https://www.cian.ru/sale/flat/286258299/,"2-комн. апартаменты, 104,2 м², 5/9 этаж",Секция 1 • Сдан,Маяковская,1 минута пешком,"Москва, ЦАО, р-н Тверской, м. Маяковская, 1-я Тверская-Ямская улица, 2",166 084 380 ₽,1 593 900 ₽/м²
https://www.cian.ru/sale/flat/310263019/,Свежий ремонт премиум-класса!,"2-комн. квартира, 48 м², 7/8 этаж",Багратионовская,8 минут пешком,"Москва, ЗАО, р-н Филевский парк, м. Багратионовская, Большая Филевская улица, 13",30 000 000 ₽,625 000 ₽/м²
